	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
664	조심	5	0	5	0.00%	100.00%
665	중학	5	0	5	0.00%	100.00%
666	조립식	5	0	5	0.00%	100.00%
667	조금	5	0	5	0.00%	100.00%
668	제외	5	0	5	0.00%	100.00%
669	제안	5	0	5	0.00%	100.00%
670	정서	5	0	5	0.00%	100.00%
671	접근성	5	0	5	0.00%	100.00%
672	전역	5	0	5	0.00%	100.00%
673	통제	4	0	4	0.00%	100.00%
674	오타쿠	0	4	4	100.00%	0.00%
675	일본	0	4	4	100.00%	0.00%
676	휴무일	4	0	4	0.00%	100.00%
677	정상	4	0	4	0.00%	100.00%
678	신경주역	4	0	4	0.00%	100.00%
679	방해	4	0	4	0.00%	100.00%
680	고요	4	0	4	0.00%	100.00%
681	라면	0	4	4	100.00%	0.00%
682	애니	0	4	4	100.00%	0.00%
683	주변	0	3	3	100.00%	0.00%
684	아중	0	3	3	100.00%	0.00%
685	수지	0	3	3	100.00%	0.00%
686	레일바이크	0	3	3	100.00%	0.00%
687	떡갈비	0	3	3	100.00%	0.00%
688	동네	0	3	3	100.00%	0.00%
689	전북	0	3	3	100.00%	0.00%
690	기상청	3	0	3	0.00%	100.00%
691	비피	3	0	3	0.00%	100.00%
692	뉴스	3	0	3	0.00%	100.00%
693	테이	2	0	2	0.00%	100.00%
694	청공	2	0	2	0.00%	100.00%
695	이튿날	2	0	2	0.00%	100.00%
696	옥스	2	0	2	0.00%	100.00%
697	스테이	2	0	2	0.00%	100.00%
698	소록	2	0	2	0.00%	100.00%
699	다양	0	2	2	100.00%	0.00%
700	모주	0	2	2	100.00%	0.00%
701	카페이	0	1	1	100.00%	0.00%
702	통합	0	1	1	100.00%	0.00%
703	찜질방	0	1	1	100.00%	0.00%
704	용추	0	1	1	100.00%	0.00%
705	유익	0	1	1	100.00%	0.00%
706	차선	1	0	1	0.00%	100.00%
707	용권	0	1	1	100.00%	0.00%
708	전용	1	0	1	0.00%	100.00%
709	권역	1	0	1	0.00%	100.00%
710	연중무휴	1	0	1	0.00%	100.00%
711	운행	1	0	1	0.00%	100.00%
712	패스	0	1	1	100.00%	0.00%
